iter	Passed	Remaining
0	138	207124
1	282	211769
2	435	217214
3	584	218630
4	733	219254
5	872	217229
6	1011	215762
7	1140	212708
8	1277	211696
9	1420	211723
10	1554	210436
11	1696	210396
12	1836	210081
13	1977	209900
14	2122	210101
15	2263	209914
16	2403	209630
17	2530	208377
18	2671	208226
19	2811	208081
20	2944	207376
21	3069	206195
22	3196	205293
23	3328	204716
24	3461	204214
25	3581	203021
26	3726	203310
27	3857	202772
28	3992	202506
29	4085	200197
30	4232	200571
31	4369	200470
32	4514	200694
33	4644	200261
34	4764	199435
35	4889	198858
36	5032	198984
37	5175	199105
38	5313	199069
39	5451	198997
40	5575	198400
41	5704	198022
42	5829	197511
43	5969	197540
44	6101	197283
45	6207	196212
46	6346	196202
47	6469	195711
48	6562	194336
49	6695	194173
50	6826	193953
51	6961	193840
52	7102	193899
53	7240	193877
54	7320	192339
55	7450	192126
56	7576	191801
57	7716	191841
58	7862	192037
59	8002	192061
60	8137	191968
61	8185	189839
62	8328	189961
63	8463	189892
64	8575	189319
65	8664	188266
66	8805	188326
67	8927	188001
68	9057	187845
69	9198	187913
70	9341	188021
71	9481	188052
72	9573	187140
73	9712	187161
74	9745	185169
75	9878	185097
76	10004	184889
77	10130	184691
78	10261	184578
79	10309	182985
80	10447	183030
81	10595	183225
82	10737	183316
83	10897	183704
84	10934	182031
85	11083	182240
86	11244	182621
87	11377	182563
88	11517	182599
89	11600	181734
90	11708	181291
91	11845	181293
92	11996	181490
93	12133	181481
94	12201	180450
95	12342	180505
96	12463	180272
97	12596	180202
98	12741	180318
99	12862	180077
100	13005	180141
101	13141	180114
102	13279	180115
103	13359	179329
104	13482	179129
105	13517	177765
106	13671	177986
107	13820	178132
108	13964	178212
109	14110	178309
110	14246	178271
111	14376	178171
112	14472	177638
113	14608	177605
114	14755	177704
115	14875	177480
116	15031	177676
117	15098	176832
118	15247	176953
119	15357	176610
120	15422	175766
121	15571	175886
122	15703	175805
123	15857	175971
124	15999	175997
125	16075	175297
126	16212	175271
127	16293	174650
128	16416	174471
129	16569	174612
130	16694	174467
131	16768	173781
132	16921	173925
133	17067	173987
134	17207	173984
135	17361	174121
136	17516	174274
137	17678	174482
138	17840	174681
139	17970	174567
140	18118	174631
141	18247	174507
142	18401	174618
143	18550	174682
144	18707	174820
145	18864	174949
146	18995	174833
147	19137	174820
148	19289	174897
149	19440	174964
150	19580	174926
151	19657	174332
152	19794	174270
153	19948	174352
154	20102	174434
155	20233	174316
156	20353	174109
157	20488	174024
158	20617	173885
159	20747	173759
160	20891	173751
161	21033	173720
162	21091	172999
163	21179	172537
164	21324	172530
165	21484	172652
166	21627	172631
167	21770	172609
168	21904	172511
169	21936	171623
170	22064	171482
171	22215	171524
172	22361	171524
173	22492	171411
174	22638	171408
175	22770	171293
176	22909	171237
177	22999	170814
178	23135	170734
179	23269	170646
180	23406	170570
181	23558	170601
182	23661	170282
183	23801	170231
184	23941	170180
185	24080	170116
186	24209	169984
187	24332	169810
188	24477	169791
189	24566	169379
190	24647	168922
191	24755	168644
192	24873	168444
193	25000	168300
194	25141	168257
195	25279	168185
196	25419	168132
197	25533	167903
198	25653	167713
199	25771	167516
200	25915	167485
201	26038	167319
202	26173	167227
203	26307	167132
204	26425	166934
205	26567	166885
206	26717	166888
207	26854	166807
208	26981	166667
209	27106	166509
210	27242	166424
211	27357	166211
212	27492	166118
213	27530	165441
214	27650	165262
215	27775	165108
216	27918	165066
217	28061	165022
218	28208	165002
219	28317	164756
220	28442	164604
221	28570	164473
222	28696	164331
223	28775	163918
224	28913	163841
225	28945	163173
226	29072	163038
227	29200	162906
228	29334	162810
229	29396	162319
230	29542	162294
231	29681	162225
232	29808	162090
233	29908	161810
234	30029	161647
235	30151	161487
236	30295	161447
237	30435	161384
238	30555	161213
239	30689	161120
240	30769	160741
241	30903	160647
242	31043	160581
243	31173	160469
244	31312	160395
245	31376	159946
246	31505	159822
247	31636	159715
248	31784	159688
249	31915	159575
250	32039	159433
251	32177	159353
252	32237	158892
253	32371	158798
254	32492	158637
255	32608	158457
256	32747	158385
257	32867	158224
258	32999	158116
259	33131	158012
260	33264	157912
261	33399	157819
262	33465	157404
263	33600	157311
264	33728	157185
265	33872	157138
266	34015	157080
267	34104	156780
268	34166	156354
269	34273	156134
270	34413	156066
271	34533	155908
272	34659	155775
273	34809	155752
274	34925	155576
275	35042	155407
276	35104	154992
277	35230	154862
278	35361	154752
279	35505	154702
280	35639	154606
281	35779	154536
282	35922	154477
283	36059	154395
284	36191	154289
285	36304	154103
286	36448	154048
287	36564	153875
288	36694	153762
289	36828	153664
290	36960	153558
291	37012	153119
292	37159	153077
293	37285	152945
294	37418	152844
295	37551	152744
296	37687	152654
297	37823	152562
298	37914	152290
299	38046	152184
300	38174	152063
301	38294	151911
