iter	BrierScore	Logloss
64	0.2475342641	0.6881947239
65	0.2475301795	0.688186424
66	0.2475232348	0.6881723719
67	0.2475162512	0.6881581754
68	0.2475049459	0.688135321
69	0.2474991059	0.6881234986
70	0.2474981703	0.6881215922
71	0.2474925383	0.6881102
72	0.2474844906	0.6880939439
73	0.2474782443	0.6880812565
74	0.2474717622	0.6880680838
75	0.2474657852	0.6880558981
76	0.2474636576	0.6880515724
77	0.247454553	0.6880331423
78	0.2474489037	0.6880217257
79	0.2474403777	0.6880044256
80	0.2474340037	0.6879914137
81	0.2474309734	0.6879852466
82	0.2474213139	0.6879657127
83	0.2474114121	0.6879456572
84	0.2473954023	0.6879133802
85	0.2473875847	0.6878974752
86	0.2473812225	0.6878845975
87	0.2473741553	0.6878700955
88	0.2473687826	0.6878591648
89	0.247352591	0.6878265124
90	0.2473468825	0.6878149631
91	0.2473394664	0.6877998729
92	0.2473352254	0.6877912701
93	0.2473334725	0.6877876834
94	0.247329205	0.6877790446
95	0.2473247916	0.6877700476
96	0.2473247445	0.6877699507
97	0.2473240403	0.6877685269
98	0.2473184202	0.6877571072
99	0.2473148218	0.6877497812
100	0.2473104007	0.6877406877
101	0.2473061597	0.6877320527
102	0.2472997808	0.6877190151
103	0.2472970356	0.6877134214
104	0.2472926916	0.6877046543
105	0.2472899686	0.6876991031
106	0.2472843521	0.6876876621
107	0.2472793877	0.6876774833
108	0.2472741111	0.6876668203
109	0.247268034	0.6876543831
110	0.2472680339	0.6876543825
111	0.2472629623	0.687644152
112	0.2472593277	0.6876366671
113	0.2472526079	0.6876229416
114	0.2472481017	0.687613812
115	0.2472445969	0.6876067235
116	0.2472401585	0.6875977072
117	0.2472387203	0.6875946543
118	0.2472340229	0.6875851187
119	0.2472339499	0.6875849626
120	0.2472308356	0.6875786646
121	0.2472277903	0.6875725322
122	0.2472223712	0.6875615491
123	0.2472194341	0.6875555731
124	0.2472171964	0.6875509732
125	0.2472139217	0.6875442658
126	0.2472090212	0.6875343174
127	0.2472066375	0.6875294443
128	0.2472044356	0.687524994
129	0.2472025797	0.6875212234
130	0.2471975436	0.6875110246
131	0.2471960758	0.6875080434
132	0.2471925761	0.6875009898
133	0.2471914565	0.6874987082
134	0.2471875582	0.6874908109
135	0.2471847842	0.6874851595
136	0.2471809509	0.6874773706
137	0.2471728097	0.6874609587
138	0.2471696696	0.6874546084
139	0.2471640033	0.6874431147
140	0.2471591065	0.6874331577
141	0.2471563773	0.6874275792
142	0.2471557745	0.6874263387
143	0.2471527191	0.6874201433
144	0.2471476243	0.6874098321
145	0.2471451437	0.6874048347
146	0.2471416186	0.6873975641
147	0.2471364076	0.6873868678
148	0.2471335021	0.6873810042
149	0.2471248307	0.6873635252
150	0.2471198622	0.6873534835
151	0.2471164211	0.6873464902
152	0.2471160427	0.6873457208
153	0.2471160427	0.6873457208
154	0.247113819	0.6873412337
155	0.2471118354	0.6873372292
156	0.2471082825	0.6873300185
157	0.2471028723	0.687319031
158	0.2470986043	0.6873103945
159	0.2470957392	0.687304557
160	0.2470931248	0.687299281
161	0.2470906081	0.6872941802
162	0.2470888623	0.6872906306
163	0.2470861094	0.6872850499
164	0.2470828944	0.6872785353
165	0.2470813	0.6872752973
166	0.2470807656	0.6872741884
167	0.2470726391	0.687257771
168	0.2470685847	0.6872495863
169	0.2470626475	0.6872375609
170	0.2470600129	0.6872322079
171	0.2470549443	0.6872219392
172	0.2470509342	0.687213795
173	0.2470492388	0.6872103446
174	0.2470461231	0.6872040485
175	0.2470459196	0.6872036314
176	0.2470416152	0.6871949009
177	0.2470403558	0.687192347
178	0.2470383475	0.687188249
179	0.2470374173	0.6871863317
180	0.2470327772	0.6871769369
181	0.2470310738	0.6871734603
182	0.2470282403	0.68716767
183	0.2470253384	0.6871618053
184	0.2470223932	0.6871558128
185	0.2470203229	0.6871516018
186	0.2470180582	0.6871470114
187	0.2470160789	0.6871429541
188	0.2470149502	0.687140653
189	0.2470117091	0.6871340694
190	0.2470086938	0.6871279299
191	0.2470066641	0.6871238472
192	0.247003825	0.6871180776
193	0.247000006	0.6871103431
194	0.2469981581	0.6871066101
195	0.2469943719	0.6870989175
196	0.2469843799	0.6870787602
197	0.2469821715	0.6870742803
198	0.246979736	0.6870693558
199	0.2469782684	0.6870663908
200	0.2469756383	0.6870610858
201	0.2469738258	0.6870573972
202	0.2469702426	0.6870501439
203	0.2469678532	0.6870452938
204	0.2469646999	0.687038891
205	0.2469627346	0.6870349052
206	0.2469605468	0.6870304648
207	0.246957435	0.6870240925
208	0.2469563501	0.6870218975
209	0.2469541733	0.6870175201
210	0.2469530983	0.6870153157
211	0.2469507	0.687010428
212	0.246947656	0.6870042437
213	0.246947342	0.6870036082
214	0.2469446739	0.6869982193
215	0.2469446219	0.686998114
216	0.2469423432	0.686993443
217	0.2469409961	0.6869906974
218	0.2469380657	0.6869846896
219	0.2469363722	0.6869811519
220	0.2469313499	0.6869709967
221	0.2469277088	0.6869636313
222	0.2469256842	0.6869594994
223	0.2469237776	0.6869556639
224	0.2469199385	0.6869478875
225	0.2469176544	0.6869432749
226	0.2469146863	0.6869372768
227	0.2469141378	0.6869361437
228	0.2469117319	0.686931273
229	0.2469103219	0.6869284166
230	0.2469101418	0.6869280414
231	0.2469092977	0.6869263288
232	0.2469053897	0.6869183954
233	0.2469039661	0.6869155285
234	0.2469012331	0.6869100128
235	0.2468998231	0.6869071488
236	0.2468974106	0.6869021684
237	0.246895983	0.6868992803
238	0.2468931357	0.6868935215
239	0.2468908513	0.6868889139
240	0.2468876285	0.6868823793
241	0.2468870642	0.6868812207
242	0.2468835731	0.6868741371
243	0.2468808969	0.6868687398
244	0.2468766334	0.6868601239
245	0.2468725747	0.6868518882
246	0.2468688988	0.6868444019
247	0.2468664331	0.6868393964
248	0.2468630389	0.6868325169
249	0.246860416	0.6868271853
250	0.2468590448	0.6868243923
251	0.2468574303	0.6868211121
252	0.2468543847	0.6868149491
253	0.2468543846	0.6868149489
254	0.2468477723	0.6868015656
255	0.2468463779	0.6867986741
256	0.2468457229	0.6867973522
257	0.2468421866	0.6867901954
258	0.2468396809	0.6867850951
259	0.246836253	0.686778155
260	0.2468329846	0.6867715425
261	0.246830316	0.6867661017
262	0.2468282023	0.6867618248
263	0.2468260625	0.6867574634
264	0.2468252026	0.6867557293
265	0.2468229321	0.6867510372
266	0.246822685	0.6867505398
267	0.2468212782	0.6867476726
268	0.2468198974	0.6867448736
269	0.2468198974	0.6867448736
270	0.2468154389	0.6867358539
271	0.2468141797	0.6867333054
272	0.246813187	0.6867312797
273	0.2468106817	0.6867260011
274	0.2468081844	0.6867209629
275	0.24680501	0.6867145514
276	0.2468033246	0.686711166
277	0.2468005958	0.6867056713
278	0.2467975008	0.6866994213
279	0.2467940465	0.6866924271
280	0.2467916876	0.6866876402
281	0.2467894811	0.6866831566
282	0.2467858885	0.6866758287
283	0.2467834301	0.6866708701
284	0.2467815014	0.6866669642
285	0.2467787555	0.6866613726
286	0.2467754469	0.6866546688
287	0.2467753752	0.6866545259
288	0.2467726871	0.6866489744
289	0.2467695819	0.6866427115
290	0.2467672844	0.6866379982
291	0.2467655592	0.6866344861
292	0.2467640438	0.6866313882
293	0.2467623935	0.686628026
294	0.2467563978	0.6866159463
295	0.2467563201	0.686615789
296	0.2467559243	0.6866149828
297	0.2467536664	0.6866103946
298	0.2467515476	0.6866061087
299	0.2467486201	0.6866001555
300	0.2467449963	0.6865927989
301	0.2467427955	0.6865883358
302	0.2467392614	0.6865811929
303	0.2467346646	0.6865718585
304	0.2467307392	0.6865639488
305	0.246729179	0.686560674
306	0.2467289765	0.6865602872
307	0.2467265468	0.6865553829
308	0.2467245079	0.6865512038
309	0.2467210388	0.6865442103
310	0.2467180475	0.686538142
311	0.2467101569	0.6865221322
312	0.2467096627	0.6865211446
313	0.2467049215	0.686511565
314	0.2467014909	0.6865046473
315	0.2466979091	0.6864973948
316	0.2466963006	0.6864941349
317	0.2466898295	0.6864810308
318	0.2466848898	0.6864710611
319	0.2466826411	0.6864664974
320	0.2466784685	0.6864580405
321	0.2466717632	0.6864445233
322	0.2466677712	0.6864364719
323	0.2466658731	0.6864326359
324	0.2466633409	0.6864274564
325	0.2466576512	0.686415937
326	0.2466478017	0.6863959975
327	0.2466436852	0.6863876554
328	0.2466404298	0.6863810342
329	0.2466368829	0.6863736214
330	0.2466317634	0.6863632666
331	0.2466256019	0.6863507885
332	0.246620373	0.6863402279
333	0.2466157696	0.6863308498
334	0.2466057816	0.6863105816
335	0.2466019871	0.6863029146
336	0.246598264	0.6862952632
337	0.2465902666	0.686279104
338	0.2465863713	0.6862711961
339	0.2465797135	0.6862577685
340	0.2465773068	0.686252883
341	0.2465737834	0.6862456846
342	0.2465695682	0.6862371277
343	0.2465627602	0.686223347
344	0.2465596828	0.6862170986
345	0.2465550727	0.6862077969
346	0.2465510942	0.6861996315
347	0.2465456256	0.6861885237
348	0.246538543	0.6861742088
349	0.2465348177	0.6861666751
350	0.2465301975	0.6861572659
351	0.2465243171	0.6861453121
352	0.2465208679	0.686138254
353	0.2465172193	0.6861307206
354	0.2465115603	0.6861191886
355	0.2465070319	0.6861100429
356	0.2465027087	0.6861012653
357	0.2464998935	0.6860955676
358	0.2464954498	0.6860864276
359	0.2464890673	0.6860735135
360	0.2464849235	0.6860651026
361	0.246479956	0.6860548707
362	0.2464757954	0.6860464676
363	0.246471335	0.6860373838
364	0.246465529	0.6860256271
365	0.2464615441	0.6860173763
366	0.2464567158	0.6860075897
367	0.2464525346	0.6859990601
368	0.2464481062	0.6859901335
369	0.2464423386	0.6859784192
370	0.2464383884	0.6859704489
371	0.246434232	0.6859620245
372	0.2464305791	0.6859546018
373	0.2464254024	0.685944133
374	0.2464209783	0.6859351258
375	0.2464161031	0.6859252727
376	0.2464107009	0.6859143118
377	0.2464062019	0.6859051734
378	0.2464036106	0.6858999105
379	0.2463976205	0.6858877547
380	0.2463921097	0.6858765324
381	0.2463869601	0.685866115
382	0.2463838218	0.6858597681
383	0.2463780185	0.68584803
384	0.2463728892	0.6858376345
385	0.2463666505	0.6858250583
386	0.2463590774	0.6858096694
387	0.2463543269	0.6857998612
388	0.246349303	0.6857897095
389	0.2463445344	0.6857800338
390	0.2463399787	0.6857707776
391	0.2463355042	0.6857617029
392	0.2463306671	0.6857518985
393	0.2463260363	0.6857425159
394	0.2463214232	0.685733232
395	0.246316665	0.685723571
396	0.2463128247	0.6857156597
397	0.2463078025	0.6857055201
398	0.246303772	0.6856973731
399	0.246299624	0.6856888801
400	0.2462944052	0.6856783615
401	0.2462897948	0.6856688748
402	0.2462852845	0.6856597322
403	0.2462786623	0.6856462032
404	0.2462752792	0.6856393051
405	0.2462690827	0.685626732
406	0.2462648639	0.6856181617
407	0.2462597451	0.6856077712
408	0.2462541809	0.6855963932
409	0.2462491735	0.6855862509
410	0.2462450483	0.6855778151
411	0.2462412925	0.6855702204
412	0.2462360923	0.6855596181
413	0.2462307315	0.6855487218
414	0.2462253947	0.6855379009
415	0.2462200493	0.6855270003
416	0.2462147133	0.6855162114
417	0.246209984	0.6855066574
418	0.2462051555	0.6854969074
419	0.2462006394	0.685487763
420	0.2461959976	0.6854783865
421	0.246190631	0.6854674804
422	0.2461854911	0.6854571233
423	0.2461814039	0.6854488291
424	0.2461761743	0.6854382555
425	0.2461716145	0.6854289047
426	0.2461670624	0.6854196489
427	0.2461621469	0.6854097311
428	0.2461562403	0.6853976749
429	0.2461515349	0.6853881084
430	0.246146237	0.6853774007
431	0.2461414534	0.6853676855
432	0.246136925	0.6853584972
433	0.2461323937	0.6853493186
434	0.2461281124	0.6853406238
435	0.2461216456	0.6853274516
436	0.2461176895	0.6853195007
437	0.2461132788	0.6853105334
438	0.2461086321	0.6853010193
439	0.2461039779	0.6852915622
440	0.2460988071	0.6852811006
441	0.2460945254	0.6852724045
442	0.246089967	0.6852631513
443	0.2460854417	0.6852540352
444	0.2460804491	0.6852437455
445	0.2460765673	0.6852358907
446	0.2460725873	0.6852278823
447	0.2460679158	0.6852184308
448	0.2460633047	0.6852090582
449	0.2460592183	0.6852007555
450	0.246054745	0.6851916819
451	0.2460504925	0.6851831123
452	0.2460467779	0.6851755876
453	0.2460426179	0.6851671913
454	0.2460385153	0.6851587495
455	0.2460352454	0.6851520854
456	0.2460306302	0.6851427315
457	0.2460256821	0.6851327539
458	0.2460219361	0.6851250952
459	0.2460166272	0.6851142714
460	0.2460126538	0.6851061397
461	0.2460081322	0.6850969509
462	0.2460040767	0.6850887042
463	0.2460004066	0.6850812342
464	0.2459953893	0.6850710808
465	0.2459915608	0.6850633237
466	0.2459879042	0.685055891
467	0.2459830895	0.685046078
468	0.2459791076	0.685037959
469	0.2459746843	0.6850290054
470	0.2459717804	0.6850230895
471	0.2459675819	0.6850145347
472	0.245963561	0.6850063839
473	0.2459590609	0.684997243
474	0.2459541844	0.6849873098
475	0.2459511551	0.6849811483
476	0.2459465689	0.6849718808
477	0.245941436	0.684961472
478	0.2459369836	0.6849524445
479	0.245934363	0.684947102
480	0.2459309483	0.6849401476
481	0.2459268051	0.6849317365
482	0.2459221222	0.6849222883
483	0.2459172599	0.6849124196
484	0.2459137282	0.684905228
485	0.2459080941	0.684893839
486	0.2459027901	0.6848830088
487	0.2458981043	0.6848735357
488	0.2458938494	0.6848649604
489	0.2458885477	0.6848542731
490	0.2458827629	0.684842585
491	0.2458778044	0.6848324786
492	0.2458737142	0.6848241965
493	0.2458700082	0.6848167165
494	0.2458653293	0.6848071936
495	0.2458597182	0.684795889
496	0.2458551041	0.6847865169
497	0.2458505948	0.6847773955
498	0.2458457308	0.6847674957
499	0.2458409092	0.6847576278
500	0.2458363119	0.6847483578
501	0.245832799	0.6847412263
502	0.2458281488	0.684731805
503	0.245824438	0.6847242488
504	0.2458198835	0.6847150333
505	0.2458174551	0.6847100856
506	0.2458134224	0.6847019018
507	0.2458101279	0.6846952309
508	0.2458058699	0.6846866
509	0.2458009844	0.6846767788
510	0.2457961293	0.6846668859
511	0.2457923746	0.6846592672
512	0.2457886994	0.6846518187
513	0.2457844488	0.6846431864
514	0.2457800611	0.6846342983
515	0.2457765685	0.6846271825
516	0.2457722227	0.68461839
517	0.2457684574	0.6846107818
518	0.24576371	0.6846011446
519	0.2457593197	0.6845922912
520	0.2457537866	0.6845810572
521	0.2457491374	0.6845716153
522	0.2457448533	0.6845629214
523	0.2457405897	0.6845542549
524	0.2457366394	0.6845462108
525	0.2457320807	0.6845369974
526	0.2457272272	0.6845271537
527	0.2457237855	0.6845201035
528	0.2457193339	0.6845111006
529	0.2457153653	0.6845030269
530	0.245711164	0.684494456
531	0.2457075686	0.6844871689
532	0.2457058447	0.6844836797
533	0.2457010945	0.6844739572
534	0.2456960738	0.6844637983
535	0.2456916655	0.6844548211
536	0.2456889803	0.6844493888
537	0.2456847413	0.6844408142
538	0.2456803746	0.6844319623
539	0.2456771615	0.6844253538
540	0.2456747283	0.6844204026
541	0.2456727248	0.6844163599
542	0.2456685753	0.6844079044
543	0.2456636968	0.6843980071
544	0.2456598398	0.6843901841
545	0.2456559031	0.6843821876
546	0.2456541878	0.6843786991
547	0.2456502651	0.6843707571
548	0.2456451862	0.6843604574
549	0.2456406564	0.6843512232
550	0.2456352352	0.6843402917
551	0.2456335457	0.6843368452
552	0.2456301678	0.6843299986
553	0.2456251741	0.6843198524
554	0.2456209427	0.684311285
555	0.2456193843	0.6843081058
556	0.2456140983	0.684297443
557	0.2456096067	0.6842883327
558	0.2456044989	0.6842779885
559	0.2455998964	0.6842686599
560	0.2455967271	0.6842621925
561	0.2455925649	0.6842537579
562	0.2455878869	0.6842443217
563	0.2455846094	0.6842376796
564	0.2455808281	0.6842300012
565	0.2455772184	0.684222629
566	0.2455753338	0.6842187527
567	0.2455706805	0.684209308
568	0.2455668765	0.6842015881
569	0.2455632066	0.6841941464
570	0.2455581122	0.6841838231
571	0.2455530816	0.6841735799
572	0.2455485846	0.684164493
573	0.2455446295	0.6841564726
574	0.2455398427	0.6841467777
575	0.2455348207	0.6841365931
576	0.2455306532	0.6841281655
577	0.2455267847	0.6841203376
578	0.2455229063	0.6841124531
579	0.2455189647	0.6841043381
580	0.245514402	0.6840951445
581	0.2455105031	0.6840871475
582	0.2455065449	0.6840790601
583	0.2455025764	0.6840710059
584	0.2454980849	0.6840619636
585	0.2454947729	0.6840552223
586	0.2454897438	0.6840450104
587	0.2454880216	0.6840415303
588	0.2454833302	0.6840319909
589	0.2454788705	0.6840230037
590	0.2454744594	0.6840140602
591	0.2454700035	0.6840049696
592	0.2454660622	0.6839969566
593	0.2454623321	0.6839893973
594	0.2454606077	0.6839858948
595	0.2454564463	0.6839774615
596	0.245453713	0.6839719387
597	0.245448765	0.6839618497
598	0.2454447171	0.683953614
599	0.2454405988	0.6839452709
600	0.2454377078	0.6839393622
601	0.2454335231	0.6839308815
602	0.2454302324	0.6839242289
603	0.2454256856	0.6839150026
604	0.2454215204	0.68390644
605	0.2454172669	0.6838978426
606	0.2454130823	0.6838893486
607	0.2454086286	0.6838803553
608	0.2454043007	0.6838715719
609	0.2454000811	0.6838630162
610	0.2453958717	0.6838544694
611	0.2453927786	0.6838481829
612	0.245389919	0.6838423254
613	0.2453861694	0.6838347278
614	0.2453818222	0.6838258944
615	0.245377581	0.6838172855
616	0.2453731136	0.6838082359
617	0.2453697752	0.6838014837
618	0.2453641406	0.6837900851
619	0.2453595042	0.6837806404
620	0.2453550341	0.683771586
621	0.2453511415	0.6837636732
622	0.2453469635	0.6837550902
623	0.2453438454	0.6837487521
624	0.2453388085	0.683738574
625	0.2453335355	0.6837278983
626	0.2453293773	0.6837194803
627	0.2453249475	0.683710542
628	0.2453211851	0.6837028779
629	0.2453201525	0.6837007667
630	0.2453175382	0.6836954213
631	0.2453153583	0.6836909764
632	0.245313383	0.6836869612
633	0.2453083052	0.6836767099
634	0.245304289	0.6836685464
635	0.2453002336	0.6836602648
636	0.2452960823	0.6836518165
637	0.2452929641	0.6836454753
638	0.2452884391	0.6836363245
639	0.245285297	0.683629951
