iter	BrierScore	Logloss
0	0.2498511654	0.6928495087
1	0.2497014519	0.6925500605
2	0.2495588651	0.6922648395
3	0.2494242965	0.6919956197
4	0.2493068915	0.6917606963
5	0.2492182458	0.6915832817
6	0.2491175593	0.6913817347
7	0.2490368637	0.6912201489
8	0.248949559	0.6910452934
9	0.2488706583	0.6908872479
10	0.2487949972	0.6907356444
11	0.2487237483	0.6905928024
12	0.2486752219	0.6904954686
13	0.2486218128	0.6903882606
14	0.248566254	0.6902767807
15	0.2485121039	0.6901680701
16	0.2484574624	0.690058328
17	0.2484096267	0.6899621946
18	0.2483749907	0.689892569
19	0.2483223059	0.6897866195
20	0.2482897581	0.6897212253
21	0.2482509879	0.6896432779
22	0.2482197051	0.6895802397
23	0.2481842688	0.6895088563
24	0.2481509009	0.6894415959
25	0.2481166509	0.6893726028
26	0.2480817962	0.6893024447
27	0.2480492054	0.6892367837
28	0.2480193984	0.6891765872
29	0.2479951805	0.6891277549
30	0.2479630983	0.6890629976
31	0.2479459217	0.6890282978
32	0.247924644	0.6889853938
33	0.2479011749	0.6889380316
34	0.2478818962	0.6888990251
35	0.2478598644	0.6888545701
36	0.2478523463	0.6888393024
37	0.2478401474	0.6888146939
38	0.2478236416	0.6887813647
39	0.2478104791	0.6887547394
40	0.2477958735	0.6887250962
41	0.2477861937	0.6887055073
42	0.2477720476	0.6886768788
43	0.2477589306	0.6886503397
44	0.2477447307	0.6886216735
45	0.2477300419	0.6885919657
46	0.2477157059	0.6885628658
47	0.2477017155	0.6885344584
48	0.2476904296	0.6885115027
49	0.2476831462	0.6884967992
50	0.2476664975	0.6884629129
51	0.2476540808	0.6884377763
52	0.2476447333	0.6884188479
53	0.2476318879	0.6883928437
54	0.2476186883	0.6883661463
55	0.2476078847	0.6883441966
56	0.2476019974	0.688332229
57	0.2475981079	0.6883243761
58	0.2475866545	0.6883010125
59	0.2475765301	0.688280517
60	0.2475663317	0.6882596627
61	0.2475570476	0.6882408381
62	0.2475469796	0.6882205155
63	0.2475363634	0.6881989678
